name,slug,description,assets,facets,sku,optionGroups,optionValues,taxCategory,trackInventory,price,stockOnHand,variantAssets,variantFacets
Milk Choc Base Spread Only Crepe,milk-choc-base-spread-only-crepe,,Milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB15,branch,mount-lavinia,Zero,,560,30,,
,,,,,MAHB15,branch,maharagama,Zero,,560,30,,
,,,,,KOLB15,branch,kollupitiya,Zero,,560,30,,
,,,,,BAMB15,branch,bambalapitiya,Zero,,560,30,,
,,,,,OGFB15,branch,one-galle-face,Zero,,560,30,,
White Choc Banana Crepe,white-choc-banana-crepe,,banana White choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC1,branch,mount-lavinia,Zero,,560,30,,
,,,,,MAHC1,branch,maharagama,Zero,,560,30,,
,,,,,KOLC1,branch,kollupitiya,Zero,,560,30,,
,,,,,BAMC1,branch,bambalapitiya,Zero,,560,30,,
,,,,,OGFC1,branch,one-galle-face,Zero,,560,30,,
White Choc Strawberry Crepe,white-choc-strawberry-crepe,,Strawberry White Choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC2,branch,mount-lavinia,Zero,,680,30,,
,,,,,MAHC2,branch,maharagama,Zero,,680,30,,
,,,,,KOLC2,branch,kollupitiya,Zero,,680,30,,
,,,,,BAMC2,branch,bambalapitiya,Zero,,680,30,,
,,,,,OGFC2,branch,one-galle-face,Zero,,680,30,,
White Choc Cornflakes Crepe,white-choc-cornflakes-crepe,,Cornflakes white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC3,branch,mount-lavinia,Zero,,560,30,,
,,,,,MAHC3,branch,maharagama,Zero,,560,30,,
,,,,,KOLC3,branch,kollupitiya,Zero,,560,30,,
,,,,,BAMC3,branch,bambalapitiya,Zero,,560,30,,
,,,,,OGFC3,branch,one-galle-face,Zero,,560,30,,
White Choc Marshmallows Crepe,white-choc-marshmallows-crepe,,marshmallo white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC4,branch,mount-lavinia,Zero,,540,30,,
,,,,,MAHC4,branch,maharagama,Zero,,540,30,,
,,,,,KOLC4,branch,kollupitiya,Zero,,540,30,,
,,,,,BAMC4,branch,bambalapitiya,Zero,,540,30,,
,,,,,OGFC4,branch,one-galle-face,Zero,,540,30,,
White Choc Peanut Butter Crepe,white-choc-peanut-butter-crepe,,Peanut Butter White Choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC5,branch,mount-lavinia,Zero,,650,30,,
,,,,,MAHC5,branch,maharagama,Zero,,650,30,,
,,,,,KOLC5,branch,kollupitiya,Zero,,650,30,,
,,,,,BAMC5,branch,bambalapitiya,Zero,,650,30,,
,,,,,OGFC5,branch,one-galle-face,Zero,,650,30,,
White Choc Coconut Crepe,white-choc-coconut-crepe,,coconut white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC6,branch,mount-lavinia,Zero,,530,30,,
,,,,,MAHC6,branch,maharagama,Zero,,530,30,,
,,,,,KOLC6,branch,kollupitiya,Zero,,530,30,,
,,,,,BAMC6,branch,bambalapitiya,Zero,,530,30,,
,,,,,OGFC6,branch,one-galle-face,Zero,,530,30,,
White Choc Cadbury Choc Force Crepe,white-choc-cadbury-choc-force-crepe,,The choc force Cadburry White choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC7,branch,mount-lavinia,Zero,,730,30,,
,,,,,MAHC7,branch,maharagama,Zero,,730,30,,
,,,,,KOLC7,branch,kollupitiya,Zero,,730,30,,
,,,,,BAMC7,branch,bambalapitiya,Zero,,730,30,,
,,,,,OGFC7,branch,one-galle-face,Zero,,730,30,,
White Choc Snickers Choc Force Crepe,white-choc-snickers-choc-force-crepe,Snickers + Peanut Butter,Choc force snickers white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC8,branch,mount-lavinia,Zero,,840,30,,
,,,,,MAHC8,branch,maharagama,Zero,,840,30,,
,,,,,KOLC8,branch,kollupitiya,Zero,,840,30,,
,,,,,BAMC8,branch,bambalapitiya,Zero,,840,30,,
,,,,,OGFC8,branch,one-galle-face,Zero,,840,30,,
White Choc Strawberry Maniac Crepe,white-choc-strawberry-maniac-crepe,Strawberry + Strawberry Cornflakes,Strawberry maniac white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC9,branch,mount-lavinia,Zero,,730,30,,
,,,,,MAHC9,branch,maharagama,Zero,,730,30,,
,,,,,KOLC9,branch,kollupitiya,Zero,,730,30,,
,,,,,BAMC9,branch,bambalapitiya,Zero,,730,30,,
,,,,,OGFC9,branch,one-galle-face,Zero,,730,30,,
White Choc Crunch Crepe,white-choc-crunch-crepe,Almonds + Cashews + Walnuts,The crunch white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC10,branch,mount-lavinia,Zero,,690,30,,
,,,,,MAHC10,branch,maharagama,Zero,,690,30,,
,,,,,KOLC10,branch,kollupitiya,Zero,,690,30,,
,,,,,BAMC10,branch,bambalapitiya,Zero,,690,30,,
,,,,,OGFC10,branch,one-galle-face,Zero,,690,30,,
White Choc Brownie Crepe,white-choc-brownie-crepe,,Brownie white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC11,branch,mount-lavinia,Zero,,840,30,,
,,,,,MAHC11,branch,maharagama,Zero,,840,30,,
,,,,,KOLC11,branch,kollupitiya,Zero,,840,30,,
,,,,,BAMC11,branch,bambalapitiya,Zero,,840,30,,
,,,,,OGFC11,branch,one-galle-face,Zero,,840,30,,
White Choc Oreo Crepe,white-choc-oreo-crepe,,Oreo white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC12,branch,mount-lavinia,Zero,,670,30,,
,,,,,MAHC12,branch,maharagama,Zero,,670,30,,
,,,,,KOLC12,branch,kollupitiya,Zero,,670,30,,
,,,,,BAMC12,branch,bambalapitiya,Zero,,670,30,,
,,,,,OGFC12,branch,one-galle-face,Zero,,670,30,,
White Choc Kitkat Crepe,white-choc-kitkat-crepe,,Kitkat white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC13,branch,mount-lavinia,Zero,,710,30,,
,,,,,MAHC13,branch,maharagama,Zero,,710,30,,
,,,,,KOLC13,branch,kollupitiya,Zero,,710,30,,
,,,,,BAMC13,branch,bambalapitiya,Zero,,710,30,,
,,,,,OGFC13,branch,one-galle-face,Zero,,710,30,,
White Choc Kinder Bueno Crepe,white-choc-kinder-bueno-crepe,,Kinder white choch.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC14,branch,mount-lavinia,Zero,,930,30,,
,,,,,MAHC14,branch,maharagama,Zero,,930,30,,
,,,,,KOLC14,branch,kollupitiya,Zero,,930,30,,
,,,,,BAMC14,branch,bambalapitiya,Zero,,930,30,,
,,,,,OGFC14,branch,one-galle-face,Zero,,930,30,,
White Choc Base Spread Only Crepe,white-choc-base-spread-only-crepe,,white choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-white-choc-crepes,MOUC15,branch,mount-lavinia,Zero,,590,30,,
,,,,,MAHC15,branch,maharagama,Zero,,590,30,,
,,,,,KOLC15,branch,kollupitiya,Zero,,590,30,,
,,,,,BAMC15,branch,bambalapitiya,Zero,,590,30,,
,,,,,OGFC15,branch,one-galle-face,Zero,,590,30,,
Nutella Kitkat Strawberry Crepe,nutella-kitkat-strawberry-crepe,,kitkat + Strawberry nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD1,branch,mount-lavinia,Zero,,1040,30,,
,,,,,MAHD1,branch,maharagama,Zero,,1040,30,,
,,,,,KOLD1,branch,kollupitiya,Zero,,1040,30,,
,,,,,BAMD1,branch,bambalapitiya,Zero,,1040,30,,
,,,,,OGFD1,branch,one-galle-face,Zero,,1040,30,,
Nutella Strawberry Banana Crepe,nutella-strawberry-banana-crepe,,Strawberry + banana Nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD2,branch,mount-lavinia,Zero,,910,30,,
,,,,,MAHD2,branch,maharagama,Zero,,910,30,,
,,,,,KOLD2,branch,kollupitiya,Zero,,910,30,,
,,,,,BAMD2,branch,bambalapitiya,Zero,,910,30,,
,,,,,OGFD2,branch,one-galle-face,Zero,,910,30,,
Nutella Kitkat Oreo Crepe,nutella-kitkat-oreo-crepe,,KitKat + Oreo nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD3,branch,mount-lavinia,Zero,,1030,30,,
,,,,,MAHD3,branch,maharagama,Zero,,1030,30,,
,,,,,KOLD3,branch,kollupitiya,Zero,,1030,30,,
,,,,,BAMD3,branch,bambalapitiya,Zero,,1030,30,,
,,,,,OGFD3,branch,one-galle-face,Zero,,1030,30,,
Nutella Strawberry Crunch Crepe,nutella-strawberry-crunch-crepe,Strawberry + Almonds + Cashews + Walnuts,Strawberry + crunch nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD4,branch,mount-lavinia,Zero,,1010,30,,
,,,,,MAHD4,branch,maharagama,Zero,,1010,30,,
,,,,,KOLD4,branch,kollupitiya,Zero,,1010,30,,
,,,,,BAMD4,branch,bambalapitiya,Zero,,1010,30,,
,,,,,OGFD4,branch,one-galle-face,Zero,,1010,30,,
Nutella Peanut Butter Banana Crepe,nutella-peanut-butter-banana-crepe,,Peanut Butter Nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD5,branch,mount-lavinia,Zero,,880,30,,
,,,,,MAHD5,branch,maharagama,Zero,,880,30,,
,,,,,KOLD5,branch,kollupitiya,Zero,,880,30,,
,,,,,BAMD5,branch,bambalapitiya,Zero,,880,30,,
,,,,,OGFD5,branch,one-galle-face,Zero,,880,30,,
Nutella Cadbury Strawberry Crepe,nutella-cadbury-strawberry-crepe,,Cadbury + Strawberry nutella .jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD6,branch,mount-lavinia,Zero,,1060,30,,
,,,,,MAHD6,branch,maharagama,Zero,,1060,30,,
,,,,,KOLD6,branch,kollupitiya,Zero,,1060,30,,
,,,,,BAMD6,branch,bambalapitiya,Zero,,1060,30,,
,,,,,OGFD6,branch,one-galle-face,Zero,,1060,30,,
Nutella Brownie Cadbury Crepe,nutella-brownie-cadbury-crepe,,Brownie + Cadbury Nutella.jpg,main:sweet-combo-crepes|sweet-combo-crepes:combo-nutella-crepes,MOUD7,branch,mount-lavinia,Zero,,1250,30,,
,,,,,MAHD7,branch,maharagama,Zero,,1250,30,,
,,,,,KOLD7,branch,kollupitiya,Zero,,1250,30,,
,,,,,BAMD7,branch,bambalapitiya,Zero,,1250,30,,
,,,,,OGFD7,branch,one-galle-face,Zero,,1250,30,,
