Statistical profiling result from isolate-0x120008000-37491-v8.log, (27570 ticks, 334 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/driver/mysql/MysqlQueryRunner.js:199:135
      5    0.0%    0.0%  RegExp: \?+ {1}
      5    0.0%    0.0%  RegExp: ([ =(]|^.{0})productvariant_channel\.(productVariantId|channelId)(?=[ =),]|.{0}$) {1}
      5    0.0%    0.0%  LazyCompile: *wrapCallbackInDomain /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/Connection.js:499:30
      5    0.0%    0.0%  LazyCompile: *target /Users/vikumwijekoon/git/vendure/node_modules/@nestjs/core/helpers/external-context-creator.js:73:24
      5    0.0%    0.0%  LazyCompile: *pipesFn /Users/vikumwijekoon/git/vendure/node_modules/@nestjs/core/helpers/external-context-creator.js:139:25
      5    0.0%    0.0%  LazyCompile: *parseSortParams /Users/vikumwijekoon/git/vendure/packages/core/dist/service/helpers/list-query-builder/parse-sort-params.js:15:25
      5    0.0%    0.0%  LazyCompile: *parseLengthCodedNumber /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/Parser.js:168:74
      5    0.0%    0.0%  LazyCompile: *onStreamRead internal/stream_base_commons.js:165:22
      5    0.0%    0.0%  LazyCompile: *onOperationComplete /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/Pool.js:91:31
      5    0.0%    0.0%  LazyCompile: *maybeReadMore_ internal/streams/readable.js:586:24
      5    0.0%    0.0%  LazyCompile: *joinCalculatedColumnRelations /Users/vikumwijekoon/git/vendure/packages/core/dist/service/helpers/list-query-builder/list-query-builder.js:344:34
      5    0.0%    0.0%  LazyCompile: *get /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/JoinAttribute.js:183:23
      5    0.0%    0.0%  LazyCompile: *executeFields /Users/vikumwijekoon/git/vendure/node_modules/graphql/execution/execute.js:284:23
      5    0.0%    0.0%  LazyCompile: *_parsePacket /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/Parser.js:419:54
      5    0.0%    0.0%  LazyCompile: *__awaiter /Users/vikumwijekoon/git/vendure/node_modules/tslib/tslib.js:111:26
      5    0.0%    0.0%  LazyCompile: *RawSqlResultsToEntityTransformer.transform /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:29:69
      5    0.0%    0.0%  LazyCompile: *Query.FieldPacket /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/sequences/Query.js:111:42
      5    0.0%    0.0%  LazyCompile: *Connection.findMetadata /Users/vikumwijekoon/git/vendure/node_modules/typeorm/connection/Connection.js:498:50
      5    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/driver/mysql/MysqlQueryRunner.js:202:72
      5    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/driver/mysql/MysqlDriver.js:393:67
      4    0.0%    0.0%  RegExp: ([ =(]|^.{0})channel\.(defaultTaxZone|defaultShippingZone|defaultTaxZone\.id|defaultShippingZone\.id|createdAt|updatedAt|code|token|defaultLanguageCode|currencyCode|pricesIncludeTax|id|defaultTaxZoneId|defaultShippingZoneId|customFieldsIsshopactive|customFieldsOpeningtime|customFieldsDefaultopeningtime|customFieldsIsopen|customFieldsProcessingtime|customFieldsLatitude|customFieldsLongitude|customFieldsName|customFieldsLocation|isShopActive|openingTime|defaultOpeningTime|isOpen|processingTime|latitude|longitude|name|location|customFields\.isShopActive|customFields\.openingTime|customFields\.defaultOpeningTime|customFields\.isOpen|customFields\.processingTime|customFields\.latitude|customFields\.longitude|customFields\.name|customFields\.location)(?=[ =),]|.{0}$)
      4    0.0%    0.0%  RegExp: ([ =(]|^.{0})Product__facetValues_translations\.(base|base\.id|createdAt|updatedAt|languageCode|name|id|baseId)(?=[ =),]|.{0}$) {3}
      4    0.0%    0.0%  RegExp: ([ =(]|^.{0})Product__facetValues\.(facet|channels|facet\.id|channels\.id|createdAt|updatedAt|code|id|facetId|customFieldsColor1|customFieldsColor2|color1|color2|customFields\.color1|customFields\.color2)(?=[ =),]|.{0}$) {4}
      4    0.0%    0.0%  RegExp: ([ =(]|^.{0})Product\.(featuredAsset|facetValues|channels|featuredAsset\.id|facetValues\.id|channels\.id|createdAt|updatedAt|deletedAt|enabled|id|featuredAssetId)(?=[ =),]|.{0}$) {3}
      4    0.0%    0.0%  LazyCompile: *writeOrBuffer internal/streams/writable.js:334:23
      4    0.0%    0.0%  LazyCompile: *translateEntity /Users/vikumwijekoon/git/vendure/packages/core/dist/service/helpers/utils/translate-entity.js:10:25
      4    0.0%    0.0%  LazyCompile: *leave /Users/vikumwijekoon/git/vendure/node_modules/graphql/language/visitor.js:336:26
      4    0.0%    0.0%  LazyCompile: *getColumnMetadata /Users/vikumwijekoon/git/vendure/packages/core/dist/service/helpers/list-query-builder/connection-utils.js:8:27
      4    0.0%    0.0%  LazyCompile: *getArgumentValues /Users/vikumwijekoon/git/vendure/node_modules/graphql/execution/values.js:140:27
      4    0.0%    0.0%  LazyCompile: *field.resolve /Users/vikumwijekoon/git/vendure/node_modules/apollo-server-core/dist/utils/schemaInstrumentation.js:22:21
      4    0.0%    0.0%  LazyCompile: *facetValues /Users/vikumwijekoon/git/vendure/packages/core/dist/api/resolvers/entity/product-entity.resolver.js:65:22
      4    0.0%    0.0%  LazyCompile: *enter /Users/vikumwijekoon/git/vendure/node_modules/graphql/language/visitor.js:315:26
      4    0.0%    0.0%  LazyCompile: *byteLength buffer.js:744:20
      4    0.0%    0.0%  LazyCompile: *alloc buffer.js:373:30
      4    0.0%    0.0%  LazyCompile: *adopt /Users/vikumwijekoon/git/vendure/node_modules/tslib/tslib.js:112:23
      4    0.0%    0.0%  LazyCompile: *__spreadArray /Users/vikumwijekoon/git/vendure/node_modules/tslib/tslib.js:206:30
